입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
쿠팡이츠한테 뒤쳐지는 건 시간 문제 일 거 같네요. 1) 여러 매장에서 같은 매장 같은 메뉴여도 쿠팡이츠가 훨씬 저렴함 2) 쿠팡이츠는 무조건 배달원 위치 보여줘서 짱편한데 배민은 보여줄 때가 있고 안 보여줄 때도 있음. 장담하건데 분명 배민 앞지르고 쿠팡이츠가 우세해질 거 같은 촉이 딱 옴. 느낌상 배민이 오랫동안 사용자가 많아서 지금 어느정도 유지하지만 지금과 같이 쿠팡이츠의 더 저렴한 가격과 배달원 위치 무조건 제공 등 이런 가격과 편의성이 계속 되는 한 서서히 쿠팡이츠로 사람 몰리고 음식점 사장님들도 사람 많은 쿠팡이츠에 더 몰릴거고 배민 사용자 줄어들거같은 느낌이 여러 사례들이나 경험으로 비추어보아 생길 거 같은 느낌이 딱 옴,"맛, 배달, 가격/양",기타,긍정,80.6%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
음식점 수는 조금 부족하지만 무료배달이라는 장점과 업체전반에걸친 친절한응대가 너무 맘에 들어요ᆢ와우회원이되길 너무 잘했어요,"맛, 배달",기타,부정,99.8%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님, 소중한 피드백 감사드립니다. 말씀해주신 맛, 배달 부분을 즉시 개선하여 다음 이용 시에는 더 만족스러운 경험을 드릴 수 있도록 최선을 다하겠습니다."
사용하기 편리합니다,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
"주문시에 수저,포크 체크하는걸 기본적으로 받지않음으로 해놓는게 요즘 트렌드라 그렇게 하신건 알겠는데 사용자가 설정에서 기본값을 바꿀 수 있게는 해주세요. 제가 주문하는 환경상 거의 90프로는 수저포크를 받아야돼서 매번 바꾸기가 많이 불편해요. 한번이라도 깜빡하면 사람들한테 눈치보고 사과하고ㅋ왜 배민이 ux 거지같이 해놓은것 때문에 내가 이러고 있어야되는지. 본인이 깜빡한게 잘못이라고 하겠지만 사용자 배려를 안하는 사용자 경험 디자인은 죄가 없을까요. 보통은 최근에 주문한 정보가 저장돼있는게 정상인데 배민 쓸때만 다른 방식으로 생각을 해야됨ㅋ",일반,기타,부정,93.3%,분석 결과 부족한 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,고객님의 귀한 의견 감사히 받겠습니다. 부족한 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다.
진짜 장난하는것도 아니고 주소검색 안되는게 고객탓인가. 언제해결해줄거라는 말도못해 접수만 했다하면 매일매일 들어가서 확인해보라는건가. 아 진짜 개짜증남 고객센터라고 있는게 카톡으로 채팅이나 하면서 뭐 하나 명확하게 하는거없이 못쓰면 내알바아님 하는게 먼 상담이라고,일반,기타,애매,99.5%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
서울 서초구에서 라이더 배정이 안 되어 배달하는데 1시간 10분이 넘는데 보상 하나 없고 문의량 많다고 문의도 못하게 하시고ㅎ 그냥 사용 안 할게요ㅎ 이러는 게 한두번이어야 참고 넘어가죠 ㅋ,"맛, 배달",기타,부정,99.5%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
다 좋은데 맘에 드는 음식점 저장하는 기능이나 찜하는 기능 만들어주세요,맛,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
애용하기 편리한 앱플입니다,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
글쎄요 요즘 배달을 주문하는데 다른 배달지로 가네요? 굳이 이런일이 많이 일어나는데 이 앱을 사용할 필요가 없을 거 같구요 배달을 이상한 곳에 잘못한 기사양반이 짜증내면서 음식던지고 가는데 굳이 이런 앱을 사용할 필요가 없겠는데요? 라이더 관리를 좀 하셔야 겠어요! 요즘에 많은 배달앱이 있고 하는데 이런 상황이 계속 이어지면 배민 그누구도 안쓸듯 합니다,"맛, 배달, 가격/양",기타,부정,98.0%,"분석 결과 배달, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","안녕하세요 사장님입니다. 배달, 가격/양 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다."
좋네용 ㅎ 근데 결제에서 네이버 페이가 됬으면 너무좋겠네요 ㅎ 제가 마스터카드랑 비자카드가 없고 네이버 페이밖에 없어서 ㅠ 그리고 가끔씩 계산할때 현금밖에 없어서 배달을 못시켜먹기도해서요 ㅠ 제발 네이버페이가 됬으면 좋겠네요 ㅎ,배달,기타,긍정,99.6%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
배달의민족은 여러 이벤트에 할인이벤트가 정말 다양하고 많아서 좋아요!,"배달, 가격/양",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,정성 가득한 리뷰에 힘이 납니다! 만족스러운 식사가 되셨다니 정말 기쁘네요. 언제나 믿고 주문하실 수 있는 가게가 되겠습니다.
항상 시킬때마다 만족하면서 쓰고있어요~^,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
여러 배달앱 써봤는데 그 중 저한테 잘 맞는듯,배달,기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,맛있게 드셔주셔서 정말 감사합니다! 보내주신 응원에 힘입어 오늘도 최선을 다해 조리하겠습니다. 즐거운 하루 되세요!
무료 배달 도입은 너무 좋았어요 근데 저희 공장이 시외 쪽이라 참여 업체가 너무 적어요 조금 더 많은 업체가 있었으면 좋겠어요,배달,기타,긍정,99.3%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
사용자체를 못하게하네요. 가입을 네이버로그인으로 설정했는데 아디 비번을 제대로 쳐도 로긴이 안되네요 사용을 하라는건지 말라는건지 머하자는건지,일반,기타,애매,99.3%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
매장연동오류라고 주문도 안되고 매번 배달도 늦는 배달앱은 필요없어요. 쓰레기같은 앱 때문에 괜히 식사시간에 화만 나네요.,"맛, 배달",기타,부정,99.4%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","리뷰 남겨주셔서 감사합니다. 불편을 겪으신 맛, 배달 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
이상하게 배민말고 다른앱들은 별로안땡김.ㅋ,일반,기타,애매,91.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
편리하고 시간도 모든게 만족합니다 음식두 모두 맛난거 같아요 앞으로도 잘부탁합니다,"맛, 배달",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
최고의 맛.명품치킨 맞구만.,맛,패스트푸드,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
요기요 아주 잘 쓰고있습니다. 요기요에 있는 마트나 편의점의 정보 데이터를 제공하는 오픈 api 가 있을까요.,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
"배달 시간 안맞음. 익스프레스 시켜도 배달 기사가없어서 주문접수도 안됨. 배민, 쿠팡에 비해 배달 시스템 제일 별로. 회사식권 지원되서 어쩔수없이 시키는데 시킬때마다 스트레스받음","맛, 배달",기타,부정,99.4%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님, 소중한 피드백 감사드립니다. 말씀해주신 맛, 배달 부분을 즉시 개선하여 다음 이용 시에는 더 만족스러운 경험을 드릴 수 있도록 최선을 다하겠습니다."
추가 배달요금 따로 요구하는곳이 많네요. 사기 쓰레기어플 별 란개달아주기도 아까운 어플.요기요 본사에서 수수료를 많이 받아쳐먹으니 기ㆍ게들이 수수료를 핑치는거아니냐.쓰레기들아,배달,기타,부정,99.3%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 배달 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
와 치타배달로 30분내로 오는 주문인데 2번이나 다 주문 하면 1산 넘게 걸리네요 이럴거면 왜 치타배달로 배달비까지 받아먹나요?,배달,기타,부정,99.3%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,불편을 드려 대단히 죄송합니다. 지적해주신 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다.
푸드플라이 애용하다 너무 실망하고 엉망이어서 갈아탔는데 최고예요 너무 만족합미다!,일반,기타,애매,99.7%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
직원분들은 친절하셨는데 불친절한 태도 때문에 정말 실망했습니다.,일반,기타,애매,99.5%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
사용 하기 편해서 좋습니다.,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
앱을 열면 업데이트를 하면 더 원활한 서비스를 이용할수있다고만 뜨고 앱이 사용이 안되네요 심지어 업데이트 항목도 없네요,일반,기타,애매,89.5%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
아주 쓰레기 같음. 배달오는거 보니까 묶어서 오는 것보다 더 오래 걸림 ㅋ 반바지에 삼선쓰레빠 질질 끌고 와서 주고 가고 ㅋ 배달비도 다른 앱보다 더비쌈 ㅋ어이가 없네 진짜,배달,기타,부정,99.4%,"분석 결과 배달, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 배달, 가격/양 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
배달도 빠르고 맛도 좋앗습니다~,"맛, 배달",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
요기요 배달사고를 넘 많이 겪어서 트라우마 생길정도였는데 쿠팡은 아주 빠른 배달이되어서 좋습니다.,배달,기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
"할인, 쿠폰 이벤트를 자주 해서 좋습니다. 모두가 공정히 쿠폰을 받을 수 있어 좋은 듯 합니다. 결제시스템도 간결해서 좋습니다. 21.4.15 현재 광고 차단을 해도 계속 알림이 옵니다. 버그인지 뭔지 수정해주면 좋겠네요.",맛,기타,긍정,99.6%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
다 좋은데 영업시작시간 한참지나서 휴일이라고 검색상단에서 내리는등 가게현황 반영이 느리네요.,"맛, 배달",기타,부정,96.5%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,고객님의 귀한 의견 감사히 받겠습니다. 배달 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다.
배민 배달통 다 깧아놓긴 했는데 최근에는 요기요 가장 많이 이용함. 다양한 할인에 이벤트 오류 없고 선착순같은 장난 없어서 좋음. 앞으로도 잘 이용할게요.,"배달, 가격/양",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
리뷰.좋으면서 비밀이 보장안된다는다는거에 .예를 들어서 오너쉐프의 잘못으로 제품이 불량이거나. 음식이 탓는데.직원이 적응을 못해서 실수한처럼 직원탓으로 고객들한테 책임을 전가하는거 이 앱을 통해서 알게됐음,맛,기타,긍정,98.0%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
편의점 포장 하려는데 편의점 모든품목이 다 있어요 구매하면 전부 품절인데 품절제외 체크해도 떠있고 요기요 다시깔아도 있습니다. 해결좀요,배달,기타,긍정,53.6%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,맛있게 드셔주셔서 정말 감사합니다! 보내주신 응원에 힘입어 오늘도 최선을 다해 조리하겠습니다. 즐거운 하루 되세요!
쿠팡이츠로 배달 시킬때마다 배달사고가 나네요. 상품 누락은 2번 연속이고 이번에는 배달도 안됐는데 배달 완료네요. 쿠팡이츠 쓰지 마시고 배민 쓰세요. 밥을 기분나쁘게 먹게허는 재주가 있는 쿠팡이츠네요.,배달,기타,부정,99.4%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 배달 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
이사 수도 없이 하며 배달음식으로 수천만원 쓰고 느꼈다. 맛집 그리고 기본 이상만 하는 음식점들은 배달을 하지 않는다는건을. 탈퇴수고,"맛, 배달",기타,부정,99.2%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
친절하시고 좋습니다! 평소라면 리뷰 안쓰는데 이번에 가맹점 사장님과의 트러블을 배민측에서는 최대한 정성껏 도움을 주셔서 정말 감사했습니다~ 오래도록 번창하세욥!,일반,분식,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
치타배달이라면서 아무이유없이 1시간이나 지체시킴. 분명 배달비 더받는건데 안온다. 다른가게에 시켰더니 또 지연. 분명히 점심을 먹으려고 했는데 저녁을 먹게생겼다. 베민쓰자,"맛, 배달",분식,부정,99.4%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 맛, 배달 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
코로나로 음식점가기 힘들때도 항상 시켜먹을수있어서 좋았어요~^,맛,기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
요기요 처음 앱 켰을 때 화면 색상이 너무 눈 아파요 밝기를 낮춰도 눈이 아픈 색상이에요 형광기를 좀 빼도 될 것 같아요,일반,기타,애매,83.7%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
다 좋은데 불특정한 상황이 발생해 불가피하게 현금결제 외엔 결제를 할 수 없다는 게 너무 불편하네요.죄다 앱 내에서 간편결제 아님 계좌와 같은 비슷한 사항들 뿐이라 결제주문을 못하니 굉장히 불편하네요^,맛,기타,긍정,62.4%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,정성 가득한 리뷰에 힘이 납니다! 만족스러운 식사가 되셨다니 정말 기쁘네요. 언제나 믿고 주문하실 수 있는 가게가 되겠습니다.
이런 어플을 가맹점에 수수료를 안받는다니 대단합니다,일반,기타,애매,98.3%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
"이전 버전의 포장 카테고리는 모든 종류의 가게를 리스트 하나로 볼 수 있어서 편했는데, 지금 버전은 한 번에 볼 수가 없어서 번거롭네요.",배달,기타,긍정,68.3%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
고객센터 상담원이 고객을 굉장히 우습게아는것같네요 고객한테 말을못알아듣는다는둥.고객얘기하는중에도 상관없이 끼어들어 본인말만계속하고있네요.그상담원때문에 이용하기싫어요,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
퀄리티 좋은 집 주변 음식점 쉽게 찾을 수 있어 좋아요^,맛,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
배달 주소지 설정 실수 해서 주문을 잘못했는데. 주문취소나 변경이 잘 않돼서 불편합니다. 배달주소지를 잘못적은 것은 고객본인 실수는 맞지만 가게에 직접 전화해서 변경하게 하는 것이 매우 불편합니다. 이런 상황만보고 요기요라는 비슷한 어플과 비교했을 때 어플로 주문취소가 잘 되었던 걸로 기억되는 요기요보다 배민이 이런점에서 떨어지는 것 같아서 아쉽습니다. 배민도 어플로 주문수정 및 취소를 어플로 해결할 수 있는 간편화 서비스를 갖추었으면 좋겠네요. 배민말고 배달 주문수정 주문취소 잘되는 배달 어플이 있다면 바로 배민지우고 바로 다운받고 싶네요. ㅠ,"맛, 배달",기타,부정,54.8%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","안녕하세요 사장님입니다. 맛, 배달 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다."
20분이내 도착이라고 써놓고 그 이상 걸리는건 기본인거 같네요. 차라리 40분 걸린다고 적어놓고 일찍 오는 요기요가 낫습니다.,배달,기타,부정,99.3%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,불편을 드려 대단히 죄송합니다. 지적해주신 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다.
처음시켜봤는데 음식도 깔끔하고 맛도 있었어요 별점 보고 시킬수 있어서 좋은것같아요^,맛,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,정성 가득한 리뷰에 힘이 납니다! 만족스러운 식사가 되셨다니 정말 기쁘네요. 언제나 믿고 주문하실 수 있는 가게가 되겠습니다.
"경쟁사인 요땡땡 보다 좋은거 같아요. 지금 3,000원 할인 쿠폰에 더하기 쿠폰 3,000원 그리고 15,000원 이상 토스 결제시 2,000 할인까지 총 8,000원 할인됩니다 너무 좋아용 우후후후후훟",일반,기타,애매,99.6%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
메리트가 없는 것 같아요 할인이나 무료배달이 있다해도 프렌차이즈나 개인매장이나 가게에 방문했을때 가격과 너무나 상이하고 각종 리뷰 이벤트 한답시고 별점이 조작되어있는 곳들도 많구요,"배달, 가격/양",기타,부정,97.6%,"분석 결과 배달, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 배달, 가격/양 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
"배달의민족 진짜 잘썼는데 멀리보기 어디갔나요. 워낙 배달해주는곳도 많지 않아 배민으로 단골된집도 많은데, 갑자기 뚝 없어져 찾기도 어렵습니다. 일개 사용자1이 말씀드린다 하여 조속한 조치가 이루어질게 아닌것을 알지만 속상하네요",배달,기타,부정,98.9%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,"리뷰 남겨주셔서 감사합니다. 불편을 겪으신 배달 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
배달도 빠르고 음식이 따듯헤서 먹기좋아요,"맛, 배달",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
편의점 픽업 많이 이용하는데 품절제품 제외 체크 했는데도 물품이 다 있다고 뜹니다. 고쳐주세요,일반,기타,애매,97.7%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
